index,全部,前25%,比例(%)
奇幻,145,61,42.07
冒險,129,50,38.76
校園,105,31,29.52
喜劇,102,29,28.43
動作,95,38,40.0
戀愛,71,22,30.99
青春,59,7,11.86
異世界,53,32,60.38
科幻,52,9,17.31
魔法,48,28,58.33
溫馨,43,4,9.3
勵志,37,12,32.43
競技,34,2,5.88
音樂,34,3,8.82
靈異神怪,32,7,21.88
闔家觀賞,30,0,0.0
運動,29,3,10.34
泡麵番,28,0,0.0
超能力,27,11,40.74
懸疑,24,8,33.33
偶像,23,2,8.7
職場,22,1,4.55
血腥暴力,21,11,52.38
悠閒,19,1,5.26
推理,17,4,23.53
機甲,15,2,13.33
戰爭,14,4,28.57
黑暗,14,5,35.71
親情,12,2,16.67
歷史,11,0,0.0
料理,8,1,12.5
18禁,8,1,12.5
時間穿越,5,3,60.0
感人,5,1,20.0
BL,4,0,0.0
GL,2,1,50.0
特攝,2,0,0.0
