標籤,全部,前25%,比例(%)
音樂,34,3,8.82
闔家觀賞,30,0,0.0
科幻,52,9,17.31
機甲,15,2,13.33
18禁,8,1,12.5
血腥暴力,21,11,52.38
異世界,53,32,60.38
戀愛,71,22,30.99
勵志,37,12,32.43
喜劇,102,29,28.43
運動,29,3,10.34
青春,59,7,11.86
溫馨,43,4,9.3
動作,95,38,40.0
魔法,48,28,58.33
超能力,27,11,40.74
冒險,129,50,38.76
歷史,11,0,0.0
時間穿越,5,3,60.0
偶像,23,2,8.7
職場,22,1,4.55
校園,105,31,29.52
料理,8,1,12.5
特攝,2,0,0.0
戰爭,14,4,28.57
靈異神怪,32,7,21.88
黑暗,14,5,35.71
推理,17,4,23.53
悠閒,19,1,5.26
泡麵番,28,0,0.0
奇幻,145,61,42.07
親情,12,2,16.67
懸疑,24,8,33.33
BL,4,0,0.0
感人,5,1,20.0
GL,2,1,50.0
競技,34,2,5.88
遊戲改編,43,1,2.33
漫畫改編,206,46,22.33
小說改編,103,56,54.37
原創作品,86,7,8.14
續作,166,52,31.33
新作,272,58,21.32
